customer_id,first_name,last_name,email,country,signup_date
1,Carter,Davis,carter.davis26@yahoo.com,US,2021-01-15
2,William,Miller,william.miller693@yahoo.com,US,2022-04-27
3,Abigail,Ramirez,abigail.ramirez33@gmail.com,US,2020-12-05
4,Aiden,Flores,aiden.flores28@yahoo.com,AU,2023-01-17
5,Jackson,Clark,jackson.clark226@gmail.com,FR,2021-03-08
6,James,Hernandez,james.hernandez715@gmail.com,US,2021-03-07
7,Jessica,Perez,jessica.perez105@gmail.com,US,2020-05-30
8,Olivia,Flores,olivia.flores271@yahoo.com,UK,2023-02-07
9,Jackson,Davis,jackson.davis997@yahoo.com,CA,2020-05-02
10,Charles,Green,charles.green907@yahoo.com,US,2022-06-15
11,Robert,Williams,robert.williams678@gmail.com,US,2021-03-25
12,Joseph,Miller,joseph.miller390@gmail.com,AE,2022-09-14
13,Liam,Hernandez,liam.hernandez380@gmail.com,US,2022-11-07
14,Aria,Jones,aria.jones624@yahoo.com,DE,2022-04-09
15,Sarah,Hernandez,sarah.hernandez474@gmail.com,AU,2023-12-08
16,Evelyn,Anderson,evelyn.anderson702@gmail.com,FR,2023-04-08
17,Patricia,Anderson,patricia.anderson842@gmail.com,UK,2021-05-05
18,Karen,Jones,karen.jones217@yahoo.com,SG,2022-05-31
19,Emma,Wilson,emma.wilson672@gmail.com,SG,2023-10-06
20,Aria,Robinson,aria.robinson147@gmail.com,DE,2021-01-18
21,Evelyn,Wright,evelyn.wright270@yahoo.com,SG,2021-10-27
22,Abigail,Sanchez,abigail.sanchez371@gmail.com,CA,2020-08-02
23,Amelia,Garcia,amelia.garcia774@gmail.com,US,2020-06-19
24,Carter,Hernandez,carter.hernandez812@yahoo.com,US,2022-07-15
25,Ava,Harris,ava.harris611@yahoo.com,US,2022-04-01
26,Evelyn,Smith,evelyn.smith697@yahoo.com,SG,2022-11-25
27,Jackson,Moore,jackson.moore788@yahoo.com,US,2020-06-22
28,Mia,Hernandez,mia.hernandez465@gmail.com,SG,2023-01-26
29,Thomas,Allen,thomas.allen781@gmail.com,US,2023-11-18
30,Carter,Martin,carter.martin862@yahoo.com,US,2022-08-04
31,Barbara,White,barbara.white781@gmail.com,SG,2023-04-24
32,Harper,Smith,harper.smith614@gmail.com,US,2020-01-31
33,Liam,Martin,liam.martin246@gmail.com,CA,2023-09-25
34,Jennifer,Garcia,jennifer.garcia750@gmail.com,FR,2020-04-17
35,Jackson,Rodriguez,jackson.rodriguez132@yahoo.com,US,2022-05-04
36,Thomas,King,thomas.king894@yahoo.com,SG,2020-11-25
37,Jackson,Gonzalez,jackson.gonzalez731@gmail.com,AU,2022-11-09
38,Liam,Lewis,liam.lewis922@yahoo.com,US,2020-07-06
39,Joseph,Jones,joseph.jones347@gmail.com,US,2022-05-10
40,Abigail,Anderson,abigail.anderson8@gmail.com,US,2022-09-07
41,Joseph,Jones,joseph.jones928@gmail.com,US,2021-05-28
42,Aiden,Thomas,aiden.thomas286@yahoo.com,CA,2020-11-28
43,William,Torres,william.torres591@gmail.com,UK,2023-05-03
44,Lucas,Gonzalez,lucas.gonzalez97@gmail.com,US,2021-10-31
45,Mia,Clark,mia.clark479@yahoo.com,AU,2020-03-25
46,Aria,Miller,aria.miller63@gmail.com,FR,2021-06-11
47,Michael,Thomas,michael.thomas197@gmail.com,US,2021-11-27
48,Mia,Lopez,mia.lopez286@gmail.com,SG,2023-09-20
49,Robert,Lewis,robert.lewis828@yahoo.com,US,2022-05-04
50,Patricia,Wright,patricia.wright857@gmail.com,SG,2020-05-24
51,Sarah,Hernandez,sarah.hernandez417@gmail.com,AE,2020-11-28
52,Sophia,Brown,sophia.brown169@gmail.com,US,2021-08-29
53,Ella,Jackson,ella.jackson434@yahoo.com,FR,2023-02-08
54,Evelyn,Young,evelyn.young159@gmail.com,US,2020-12-04
55,Abigail,Wright,abigail.wright63@yahoo.com,US,2020-03-29
56,Abigail,Walker,abigail.walker515@yahoo.com,US,2022-04-05
57,Patricia,Allen,patricia.allen83@yahoo.com,CA,2020-04-16
58,Robert,Thomas,robert.thomas414@gmail.com,CA,2023-10-15
59,Sarah,Hill,sarah.hill609@gmail.com,UK,2020-05-07
60,Abigail,Torres,abigail.torres536@gmail.com,US,2021-02-09
61,Emma,Thomas,emma.thomas272@gmail.com,AU,2022-11-09
62,Lisa,Robinson,lisa.robinson324@yahoo.com,US,2023-12-24
63,James,Robinson,james.robinson637@yahoo.com,US,2020-06-04
64,Jackson,Wilson,jackson.wilson519@gmail.com,US,2023-12-20
65,Robert,Thomas,robert.thomas379@gmail.com,AE,2021-11-11
66,Jackson,Martin,jackson.martin627@yahoo.com,AU,2023-06-07
67,Harper,Smith,harper.smith684@yahoo.com,SG,2021-04-10
68,Michael,Rodriguez,michael.rodriguez271@gmail.com,DE,2020-06-15
69,Evelyn,Martinez,evelyn.martinez279@gmail.com,DE,2020-11-23
70,Noah,Wilson,noah.wilson704@yahoo.com,CA,2021-02-14
71,Amelia,Taylor,amelia.taylor928@yahoo.com,US,2020-03-19
72,Carter,Ramirez,carter.ramirez850@gmail.com,US,2020-01-06
73,William,Taylor,william.taylor166@yahoo.com,DE,2022-05-07
74,Mia,Scott,mia.scott10@gmail.com,DE,2023-10-03
75,Barbara,Wright,barbara.wright37@yahoo.com,CA,2022-06-23
76,Barbara,Ramirez,barbara.ramirez131@gmail.com,SG,2021-07-20
77,John,Thompson,john.thompson216@yahoo.com,US,2022-11-02
78,Olivia,Scott,olivia.scott906@yahoo.com,DE,2022-08-22
79,Barbara,Thomas,barbara.thomas886@gmail.com,FR,2023-05-27
80,Susan,Clark,susan.clark26@gmail.com,US,2023-12-07
81,Lucas,Thomas,lucas.thomas274@gmail.com,US,2022-12-25
